,rundate,reporting_period,airline_name,aircraft_name,aircraft_km_passenger_x1000,aircraft_km_cargo_x1000,stage_flights_passenger,stage_flights_cargo,aircraft_hours_passenger,aircraft_hours_cargo,passengers_uplifted,seat_km_used_x1000,seat_km_available_x1000,aircraft_in_service_at_quarter_end,sum_of_hours_used_last_quarter,sum_of_hours_available_last_quarter
0,07/06/2022 15:54,202204,2 EXCEL AVIATION LTD T/A THE BLADES BROADSWORD SCIMITAR SABRE AND T2,BEECH 200 NO MASTER SERIES ASSIGNED,11,0,20,0,26.4,0.0,0,24,75,5,92.2,10800
1,07/06/2022 15:54,202204,2 EXCEL AVIATION LTD T/A THE BLADES BROADSWORD SCIMITAR SABRE AND T2,BOEING 737 300,19,0,22,0,31.4,0.0,969,920,1194,2,48.9,4320
2,07/06/2022 15:54,202204,ACROPOLIS AVIATION LTD,AIRBUS A320 200N,44,0,6,0,56.5,0.0,62,447,832,1,72.4,2160
3,07/06/2022 15:54,202204,AER LINGUS (UK) LTD,AIRBUS A321 200N,312,0,58,0,386.2,0.0,8253,44376,57383,1,1171.1,2160
4,07/06/2022 15:54,202204,AER LINGUS (UK) LTD,AIRBUS A330 300,406,0,60,0,493.7,0.0,11622,78566,128608,2,1491.3,4320
5,07/06/2022 15:54,202204,AIRTANKER SERVICES LTD,AIRBUS A330 200,177,0,31,0,232.9,0.0,2672,18292,49751,4,1006.4,8640
6,07/06/2022 15:54,202204,AURIGNY AIR SERVICES,ATR ATR72 200,137,0,461,0,490.2,0.0,22161,6589,9869,3,1086.2,6480
7,07/06/2022 15:54,202204,AURIGNY AIR SERVICES,DORNIER 228 200,24,0,323,0,137.8,0.0,4082,321,458,2,376.1,4320
8,07/06/2022 15:54,202204,AURIGNY AIR SERVICES,EMBRAER ERJ190 200,67,0,221,0,214.0,0.0,20632,6026,8147,1,351.4,2160
9,07/06/2022 15:54,202204,BA CITYFLYER LTD,EMBRAER ERJ190 100,1597,0,2451,0,3372.2,0.0,165408,111830,156539,23,6648.1,50160
10,07/06/2022 15:54,202204,BAE SYSTEMS (CORP AIR TVL) LTD,BOEING 737 800,0,52,0,20,0.0,80.0,0,0,0,0,0.0,0
11,07/06/2022 15:54,202204,BAE SYSTEMS (CORP AIR TVL) LTD,EMBRAER EMB145 NO MASTER SERIES ASSIGNED,20,0,71,0,47.3,0.0,574,168,999,2,152.5,4320
12,07/06/2022 15:54,202204,BLUE ISLANDS LIMITED,ATR ATR42 300,0,0,0,0,0.0,0.0,0,0,0,1,18.0,2160
13,07/06/2022 15:54,202204,BLUE ISLANDS LIMITED,ATR ATR72 200,174,0,741,0,614.7,0.0,33700,7878,11817,4,1300.6,8640
14,07/06/2022 15:54,202204,BRITISH AIRWAYS PLC,AIRBUS A319 100,2768,0,3725,0,6025.4,0.0,404914,299537,373106,30,9467.4,64800
15,07/06/2022 15:54,202204,BRITISH AIRWAYS PLC,AIRBUS A320 200,7889,0,6771,0,14392.7,0.0,864384,1003786,1322509,67,23286.8,144720
16,07/06/2022 15:54,202204,BRITISH AIRWAYS PLC,AIRBUS A320 200N,2630,0,1798,0,4486.7,0.0,234911,347153,438267,17,11908.3,36720
17,07/06/2022 15:54,202204,BRITISH AIRWAYS PLC,AIRBUS A321 200,0,0,0,0,0.0,0.0,0,0,0,18,0.0,38880
18,07/06/2022 15:54,202204,BRITISH AIRWAYS PLC,AIRBUS A321 200N,1635,0,968,0,2701.1,0.0,154921,261403,332510,10,5471.1,21600
19,07/06/2022 15:54,202204,BRITISH AIRWAYS PLC,AIRBUS A350 1000,2972,13,429,2,3673.1,15.2,104208,772137,983642,11,9067.6,18840
20,07/06/2022 15:54,202204,BRITISH AIRWAYS PLC,AIRBUS A380 800,1253,14,196,21,1604.3,34.9,67210,429768,587692,12,4784.6,25920
21,07/06/2022 15:54,202204,BRITISH AIRWAYS PLC,BOEING 777 200,11720,6,1929,1,15018.9,7.0,395970,2641332,3243785,43,38431.9,92880
22,07/06/2022 15:54,202204,BRITISH AIRWAYS PLC,BOEING 777 300ER,4896,0,686,0,6149.1,0.0,152447,1108055,1367185,16,15296.5,34560
23,07/06/2022 15:54,202204,BRITISH AIRWAYS PLC,BOEING 787 10,678,0,95,0,828.9,0.0,19246,138909,173555,2,2152.9,4320
24,07/06/2022 15:54,202204,BRITISH AIRWAYS PLC,BOEING 787 8,2220,49,383,7,2866.2,67.1,63101,376325,475053,12,10787.0,25920
25,07/06/2022 15:54,202204,BRITISH AIRWAYS PLC,BOEING 787 9,4550,0,625,0,5724.7,0.0,95634,759456,982726,18,19013.4,38880
26,07/06/2022 15:54,202204,CARGOLOGICAIR LTD,BOEING 747 400F,0,0,0,0,0.0,0.0,0,0,0,2,1523.9,3360
27,07/06/2022 15:54,202204,CATREUS AOC LTD,BOMBARDIER BD100 1A10,0,0,0,0,0.0,0.0,0,0,0,2,105.9,4320
28,07/06/2022 15:54,202204,CATREUS AOC LTD,BOMBARDIER BD700 1A10,0,0,0,0,0.0,0.0,0,0,0,2,181.4,3096
29,07/06/2022 15:54,202204,CATREUS AOC LTD,CESSNA 525 NO MASTER SERIES ASSIGNED,0,0,0,0,0.0,0.0,0,0,0,3,20.2,6480
30,07/06/2022 15:54,202204,CATREUS AOC LTD,CESSNA 560 NO MASTER SERIES ASSIGNED,0,0,0,0,0.0,0.0,0,0,0,1,61.1,2160
31,07/06/2022 15:54,202204,CATREUS AOC LTD,EMBRAER EMB505 NO MASTER SERIES ASSIGNED,0,0,0,0,0.0,0.0,0,0,0,1,0.0,2304
32,07/06/2022 15:54,202204,CONCIERGE U LTD,BOMBARDIER BD700 1A11,0,0,0,0,0.0,0.0,0,0,0,2,161.9,4320
33,07/06/2022 15:54,202204,CONCIERGE U LTD,DASSAULT FALCON 7X NO MASTER SERIES ASSIGNED,0,0,0,0,0.0,0.0,0,0,0,3,149.2,6480
34,07/06/2022 15:54,202204,CONCIERGE U LTD,GULFSTREAM GV NO MASTER SERIES ASSIGNED,0,0,0,0,0.0,0.0,0,0,0,2,241.8,4320
35,07/06/2022 15:54,202204,DHL AIR LTD,BOEING 757 200,0,211,0,228,0.0,395.3,0,0,0,5,2456.2,16656
36,07/06/2022 15:54,202204,DHL AIR LTD,BOEING 767 300F,0,1174,0,340,0.0,1620.2,0,0,0,5,4027.4,8784
37,07/06/2022 15:54,202204,DHL AIR LTD,BOEING 777 F,0,337,0,70,0.0,430.0,0,0,0,1,587.2,1248
38,07/06/2022 15:54,202204,EASTERN AIRWAYS,ATR ATR72 200,84,0,221,0,225.1,0.0,9053,3588,6245,2,483.7,4320
39,07/06/2022 15:54,202204,EASTERN AIRWAYS,BAE JETSTREAM 4100 4100,69,0,236,0,184.7,0.0,2874,952,1991,13,443.9,19440
40,07/06/2022 15:54,202204,EASTERN AIRWAYS,EMBRAER ERJ190 100,20,0,44,0,39.5,0.0,2002,953,2132,1,53.9,2160
41,07/06/2022 15:54,202204,EASYJET UK LTD,AIRBUS A319 100,6783,0,7107,0,12908.9,0.0,919828,880662,1058204,62,13217.3,104472
42,07/06/2022 15:54,202204,EASYJET UK LTD,AIRBUS A320 200,10661,0,7967,0,18147.7,0.0,1193814,1607989,1924895,60,30364.1,121152
43,07/06/2022 15:54,202204,EASYJET UK LTD,AIRBUS A320 200N,6955,0,4101,0,11086.2,0.0,625318,1078153,1257116,32,23694.7,74208
44,07/06/2022 15:54,202204,EASYJET UK LTD,AIRBUS A321 200N,2514,0,1079,0,3791.0,0.0,202506,473155,590719,10,6824.3,21600
45,07/06/2022 15:54,202204,EUROPEAN CARGO LTD,AIRBUS A340 600,0,70,0,19,0.0,100.5,0,0,0,3,288.3,5664
46,07/06/2022 15:54,202204,EXECUTIVE JET CHARTER LTD,AGUSTA AW139 NO MASTER SERIES ASSIGNED,0,0,0,0,0.0,0.0,0,0,0,3,0.0,5568
47,07/06/2022 15:54,202204,EXECUTIVE JET CHARTER LTD,DASSAULT FALCON 2000 NO MASTER SERIES ASSIGNED,0,0,0,0,0.0,0.0,0,0,0,1,0.0,2160
48,07/06/2022 15:54,202204,EXECUTIVE JET CHARTER LTD,DASSAULT FALCON 7X NO MASTER SERIES ASSIGNED,0,0,0,0,0.0,0.0,0,0,0,1,0.0,2160
49,07/06/2022 15:54,202204,EXECUTIVE JET CHARTER LTD,GULFSTREAM GIV NO MASTER SERIES ASSIGNED,2,0,1,0,2.4,0.0,6,10,23,1,24.2,2160
50,07/06/2022 15:54,202204,EXECUTIVE JET CHARTER LTD,GULFSTREAM GVI NO MASTER SERIES ASSIGNED,38,0,9,0,45.9,0.0,29,180,425,2,120.9,3432
51,07/06/2022 15:54,202204,GAMA AVIATION (UK) LTD,AIRBUS HELICOPTERS MBB BK117 C,0,0,0,0,0.0,0.0,0,0,0,3,0.0,6480
52,07/06/2022 15:54,202204,GAMA AVIATION (UK) LTD,BEECH 200 NO MASTER SERIES ASSIGNED,0,0,0,0,0.0,0.0,0,0,0,7,0.0,15120
53,07/06/2022 15:54,202204,GAMA AVIATION (UK) LTD,BOMBARDIER BD700 1A10,17,0,3,0,19.3,0.0,8,41,200,1,128.8,2160
54,07/06/2022 15:54,202204,GAMA AVIATION (UK) LTD,CANADAIR CL600 2B16 600,34,0,23,0,48.5,0.0,101,183,372,4,62.9,8640
55,07/06/2022 15:54,202204,GAMA AVIATION (UK) LTD,CESSNA 510 NO MASTER SERIES ASSIGNED,0,0,0,0,0.0,0.0,0,0,0,1,0.0,2160
56,07/06/2022 15:54,202204,GAMA AVIATION (UK) LTD,CESSNA 560 NO MASTER SERIES ASSIGNED,0,0,0,0,0.0,0.0,0,0,0,0,0.0,1968
57,07/06/2022 15:54,202204,GAMA AVIATION (UK) LTD,GULFSTREAM GULFSTREAM G280 NO MASTER SERIES ASSIGNED,5,0,8,0,8.1,0.0,29,17,40,1,43.0,2160
58,07/06/2022 15:54,202204,JET2.COM LTD,AIRBUS A321 200,599,0,232,0,895.2,0.0,44310,114921,131743,3,1587.7,6480
59,07/06/2022 15:54,202204,JET2.COM LTD,BOEING 737 300,482,0,340,0,834.6,0.0,42835,61201,71368,7,357.7,15120
60,07/06/2022 15:54,202204,JET2.COM LTD,BOEING 737 800,12987,0,5490,0,19522.6,0.0,874498,2095239,2454580,76,35010.5,162144
61,07/06/2022 15:54,202204,JET2.COM LTD,BOEING 757 200,674,0,268,0,1014.6,0.0,56241,143044,158394,8,1118.5,17280
62,07/06/2022 15:54,202204,LOGANAIR LTD,ATR ATR42 500,205,0,551,0,645.3,0.0,9335,3542,9850,6,1832.6,12960
63,07/06/2022 15:54,202204,LOGANAIR LTD,ATR ATR72 200,137,21,493,90,484.4,81.2,13433,3744,9872,4,905.8,8640
64,07/06/2022 15:54,202204,LOGANAIR LTD,BRITTEN NORMAN BN2A UNDESIGNATED MASTER SERIES,17,0,474,0,116.9,0.0,1721,75,133,2,347.4,4320
65,07/06/2022 15:54,202204,LOGANAIR LTD,DE HAVILLAND DHC6 400,45,0,265,0,241.7,0.0,2094,373,847,3,607.3,6480
66,07/06/2022 15:54,202204,LOGANAIR LTD,EMBRAER EMB135 NO MASTER SERIES ASSIGNED,77,0,198,0,204.8,0.0,3461,1491,2862,3,529.0,6720
67,07/06/2022 15:54,202204,LOGANAIR LTD,EMBRAER EMB145 NO MASTER SERIES ASSIGNED,923,0,1936,0,2247.2,0.0,58642,28236,45210,13,4649.2,28080
68,07/06/2022 15:54,202204,LOGANAIR LTD,SAAB 340 NO MASTER SERIES ASSIGNED,237,0,956,0,821.7,0.0,16072,4720,7820,13,2009.0,28080
69,07/06/2022 15:54,202204,LONDON EXECUTIVE AVIATION LTD,BOMBARDIER BD700 1A10,65,0,35,0,86.0,0.0,133,233,945,2,235.1,2688
70,07/06/2022 15:54,202204,LONDON EXECUTIVE AVIATION LTD,BOMBARDIER BD700 2A12,61,0,11,0,70.0,0.0,37,244,1033,1,128.5,2160
71,07/06/2022 15:54,202204,LONDON EXECUTIVE AVIATION LTD,CANADAIR CL600 2B16 600,20,0,11,0,28.5,0.0,35,64,236,2,69.9,4320
72,07/06/2022 15:54,202204,LONDON EXECUTIVE AVIATION LTD,CESSNA 550 NO MASTER SERIES ASSIGNED,0,0,0,0,0.0,0.0,0,0,0,0,0.0,96
73,07/06/2022 15:54,202204,LONDON EXECUTIVE AVIATION LTD,CESSNA 560 NO MASTER SERIES ASSIGNED,31,0,32,0,51.0,0.0,0,94,275,3,103.2,6480
74,07/06/2022 15:54,202204,LONDON EXECUTIVE AVIATION LTD,DASSAULT FALCON 2000 NO MASTER SERIES ASSIGNED,26,0,14,0,35.9,0.0,49,117,262,2,91.3,3936
75,07/06/2022 15:54,202204,LONDON EXECUTIVE AVIATION LTD,DASSAULT FALCON 7X NO MASTER SERIES ASSIGNED,7,0,5,0,10.0,0.0,8,18,103,1,47.6,2544
76,07/06/2022 15:54,202204,LONDON EXECUTIVE AVIATION LTD,EMBRAER EMB135 NO MASTER SERIES ASSIGNED,65,0,36,0,93.7,0.0,181,362,845,3,168.1,6840
77,07/06/2022 15:54,202204,LONDON EXECUTIVE AVIATION LTD,EMBRAER EMB505 NO MASTER SERIES ASSIGNED,7,0,8,0,12.0,0.0,0,18,56,1,12.8,2160
78,07/06/2022 15:54,202204,LONDON EXECUTIVE AVIATION LTD,GULFSTREAM GVII NO MASTER SERIES ASSIGNED,44,0,13,0,51.7,0.0,63,199,783,1,139.0,2160
79,07/06/2022 15:54,202204,RVL AVIATION LTD,BEECH 200 NO MASTER SERIES ASSIGNED,10,2,29,5,26.7,5.6,0,24,71,4,119.4,8640
80,07/06/2022 15:54,202204,RVL AVIATION LTD,CESSNA 404 NO MASTER SERIES ASSIGNED,0,0,0,0,0.0,0.0,0,0,0,1,0.0,2400
81,07/06/2022 15:54,202204,RVL AVIATION LTD,CESSNA F406 NO MASTER SERIES ASSIGNED,0,0,0,0,0.0,0.0,0,0,0,6,6.7,12960
82,07/06/2022 15:54,202204,RVL AVIATION LTD,SAAB 340 NO MASTER SERIES ASSIGNED,0,0,0,0,0.0,0.0,0,0,0,2,39.0,4320
83,07/06/2022 15:54,202204,RYANAIR UK LTD,BOEING 737 800,1464,0,887,0,2340.4,0.0,131884,219642,276761,8,4903.2,16776
84,07/06/2022 15:54,202204,TAG AVIATION (UK) LTD,BOMBARDIER BD700 1A10,0,0,0,0,0.0,0.0,0,0,0,1,0.0,2160
85,07/06/2022 15:54,202204,TAG AVIATION (UK) LTD,BOMBARDIER BD700 1A11,41,0,12,0,50.7,0.0,32,123,567,1,71.4,2160
