,rundate,reporting_period,airline_name,aircraft_name,aircraft_km_passenger_x1000,aircraft_km_cargo_x1000,stage_flights_passenger,stage_flights_cargo,aircraft_hours_passenger,aircraft_hours_cargo,passengers_uplifted,seat_km_used_x1000,seat_km_available_x1000,aircraft_in_service_at_quarter_end,sum_of_hours_used_last_quarter,sum_of_hours_available_last_quarter
0,13/04/2022 17:13,202202,2 EXCEL AVIATION LTD T/A THE BLADES BROADSWORD SCIMITAR SABRE AND T2,BEECH 200 NO MASTER SERIES ASSIGNED,16,0,41,0,47.3,0.0,0,49,114,5,123.1,11040
1,13/04/2022 17:13,202202,2 EXCEL AVIATION LTD T/A THE BLADES BROADSWORD SCIMITAR SABRE AND T2,BOEING 737 300,1,0,6,0,3.4,0.0,261,64,92,2,159.0,4416
2,13/04/2022 17:13,202202,ACROPOLIS AVIATION LTD,AIRBUS A320 200N,6,0,1,0,8.2,0.0,14,87,118,1,117.3,2208
3,13/04/2022 17:13,202202,AER LINGUS (UK) LTD,AIRBUS A321 200N,301,0,56,0,386.6,0.0,5678,30540,55415,1,378.2,696
4,13/04/2022 17:13,202202,AER LINGUS (UK) LTD,AIRBUS A330 300,379,0,56,0,485.0,0.0,6966,47119,120075,2,704.7,3936
5,13/04/2022 17:13,202202,AIRTANKER SERVICES LTD,AIRBUS A330 200,190,0,34,0,249.6,0.0,3204,21262,53338,4,990.7,8832
6,13/04/2022 17:13,202202,AURIGNY AIR SERVICES,ATR ATR72 200,91,0,278,0,313.7,0.0,11097,3619,6543,4,1185.0,6624
7,13/04/2022 17:13,202202,AURIGNY AIR SERVICES,DORNIER 228 200,17,0,225,0,100.6,0.0,2504,187,319,3,430.2,6624
8,13/04/2022 17:13,202202,AURIGNY AIR SERVICES,EMBRAER ERJ190 200,39,0,150,0,127.0,0.0,12049,3096,4703,1,465.9,2208
9,13/04/2022 17:13,202202,BA CITYFLYER LTD,EMBRAER ERJ190 100,1007,0,1578,0,2136.7,0.0,104205,69044,98678,24,7361.5,52992
10,13/04/2022 17:13,202202,BAE SYSTEMS (CORP AIR TVL) LTD,EMBRAER EMB145 NO MASTER SERIES ASSIGNED,26,0,97,0,58.9,0.0,515,141,1249,2,28.0,2880
11,13/04/2022 17:13,202202,BLUE ISLANDS LIMITED,ATR ATR42 300,0,0,0,0,0.0,0.0,0,0,0,1,146.0,1968
12,13/04/2022 17:13,202202,BLUE ISLANDS LIMITED,ATR ATR72 200,109,0,562,0,422.4,0.0,20133,4054,7423,4,1387.1,8832
13,13/04/2022 17:13,202202,BRITISH AIRWAYS PLC,AIRBUS A319 100,1084,0,1582,0,2425.0,0.0,159574,111157,143190,30,7720.0,66240
14,13/04/2022 17:13,202202,BRITISH AIRWAYS PLC,AIRBUS A320 200,3181,1,3111,1,6066.3,1.5,388693,400878,524540,67,26495.1,147936
15,13/04/2022 17:13,202202,BRITISH AIRWAYS PLC,AIRBUS A320 200N,2094,0,1553,0,3637.2,0.0,187454,246231,341558,17,12474.4,36576
16,13/04/2022 17:13,202202,BRITISH AIRWAYS PLC,AIRBUS A321 200,0,0,0,0,0.0,0.0,0,0,0,18,0.0,39744
17,13/04/2022 17:13,202202,BRITISH AIRWAYS PLC,AIRBUS A321 200N,1124,0,647,0,1845.9,0.0,93502,157438,226053,10,6055.9,22080
18,13/04/2022 17:13,202202,BRITISH AIRWAYS PLC,AIRBUS A350 1000,1841,254,288,33,2347.5,340.9,60862,459103,609312,8,8809.2,17664
19,13/04/2022 17:13,202202,BRITISH AIRWAYS PLC,AIRBUS A380 800,1151,21,159,32,1460.1,51.8,56991,408008,539695,12,1596.1,26496
20,13/04/2022 17:13,202202,BRITISH AIRWAYS PLC,BOEING 777 200,8516,77,1408,11,10937.2,98.9,269560,1828561,2415313,43,35232.2,94944
21,13/04/2022 17:13,202202,BRITISH AIRWAYS PLC,BOEING 777 300ER,3395,11,471,2,4238.3,15.3,91760,655156,958986,16,17629.4,35328
22,13/04/2022 17:13,202202,BRITISH AIRWAYS PLC,BOEING 787 10,515,0,83,0,659.8,0.0,10389,65362,131831,2,2684.9,4416
23,13/04/2022 17:13,202202,BRITISH AIRWAYS PLC,BOEING 787 8,1964,530,351,69,2587.5,691.7,47322,278850,420234,12,11139.0,26496
24,13/04/2022 17:13,202202,BRITISH AIRWAYS PLC,BOEING 787 9,4229,146,555,39,5249.4,209.5,70696,544028,913548,18,21062.7,39744
25,13/04/2022 17:13,202202,CARGOLOGICAIR LTD,BOEING 747 400,0,481,0,98,0.0,618.5,0,0,0,2,2084.8,4416
26,13/04/2022 17:13,202202,CATREUS AOC LTD,BOMBARDIER BD100 1A10,27,0,29,0,43.0,0.0,144,130,244,2,138.4,4416
