,rundate,reporting_period,airline_name,aircraft_name,aircraft_km_passenger_x1000,aircraft_km_cargo_x1000,stage_flights_passenger,stage_flights_cargo,aircraft_hours_passenger,aircraft_hours_cargo,passengers_uplifted,seat_km_used_x1000,seat_km_available_x1000,aircraft_in_service_at_quarter_end,sum_of_hours_used_last_quarter,sum_of_hours_available_last_quarter
0,03/03/2022 22:54,202201,2 EXCEL AVIATION LTD T/A THE BLADES BROADSWORD SCIMITAR SABRE AND T2,BEECH 200 NO MASTER SERIES ASSIGNED,12,0,22,0,30.4,0.0,0,46,81,5,123.1,11040
1,03/03/2022 22:54,202201,2 EXCEL AVIATION LTD T/A THE BLADES BROADSWORD SCIMITAR SABRE AND T2,BOEING 737 300,10,0,11,0,16.5,0.0,426,332,593,2,159.0,4416
2,03/03/2022 22:54,202201,ACROPOLIS AVIATION LTD,AIRBUS A320 200N,12,0,2,0,14.3,0.0,19,109,222,1,117.3,2208
3,03/03/2022 22:54,202201,AER LINGUS (UK) LTD,AIRBUS A321 200N,312,0,58,0,398.5,0.0,4779,25696,57383,1,378.2,696
4,03/03/2022 22:54,202201,AER LINGUS (UK) LTD,AIRBUS A330 300,406,0,60,0,496.5,0.0,5867,39661,128608,2,704.7,3936
5,03/03/2022 22:54,202201,AIRTANKER SERVICES LTD,AIRBUS A330 200,209,134,37,21,281.0,177.8,2706,20120,60197,4,990.7,8832
6,03/03/2022 22:54,202201,AURIGNY AIR SERVICES,ATR ATR72 200,119,0,415,0,422.6,0.0,13700,3957,8580,4,1185.0,6624
7,03/03/2022 22:54,202201,AURIGNY AIR SERVICES,DORNIER 228 200,22,0,283,0,125.3,0.0,2460,194,419,3,430.2,6624
8,03/03/2022 22:54,202201,AURIGNY AIR SERVICES,EMBRAER ERJ190 200,15,0,58,0,50.3,0.0,3278,845,1839,1,465.9,2208
9,03/03/2022 22:54,202201,BA CITYFLYER LTD,EMBRAER ERJ190 100,701,0,1054,0,1421.0,0.0,54736,39218,68657,24,7361.5,52992
10,03/03/2022 22:54,202201,BAE SYSTEMS (CORP AIR TVL) LTD,EMBRAER EMB145 NO MASTER SERIES ASSIGNED,8,0,36,0,19.6,0.0,96,21,390,2,28.0,2880
11,03/03/2022 22:54,202201,BLUE ISLANDS LIMITED,ATR ATR42 300,4,0,28,0,18.0,0.0,732,123,171,1,146.0,1968
12,03/03/2022 22:54,202201,BLUE ISLANDS LIMITED,ATR ATR72 200,102,0,521,0,396.3,0.0,12244,2542,6929,4,1387.1,8832
13,03/03/2022 22:54,202201,BRITISH AIRWAYS PLC,AIRBUS A319 100,974,0,1475,0,2167.3,0.0,122400,80939,128889,30,7720.0,66240
14,03/03/2022 22:54,202201,BRITISH AIRWAYS PLC,AIRBUS A320 200,3343,0,3354,0,6347.0,0.0,323729,325508,555340,67,26495.1,147936
15,03/03/2022 22:54,202201,BRITISH AIRWAYS PLC,AIRBUS A320 200N,2343,0,1790,0,4065.4,0.0,172055,221405,385955,17,12474.4,36576
16,03/03/2022 22:54,202201,BRITISH AIRWAYS PLC,AIRBUS A321 200,0,0,0,0,0.0,0.0,0,0,0,18,0.0,39744
17,03/03/2022 22:54,202201,BRITISH AIRWAYS PLC,AIRBUS A321 200N,924,0,469,0,1465.0,0.0,56572,113812,186809,10,6055.9,22080
18,03/03/2022 22:54,202201,BRITISH AIRWAYS PLC,AIRBUS A350 1000,2057,252,306,34,2653.3,333.0,62353,478459,680844,8,8809.2,17664
19,03/03/2022 22:54,202201,BRITISH AIRWAYS PLC,AIRBUS A380 800,1212,13,172,20,1550.1,30.6,52156,367535,568270,12,1596.1,26496
20,03/03/2022 22:54,202201,BRITISH AIRWAYS PLC,BOEING 777 200,10154,44,1677,9,13108.2,59.8,270260,1821410,2842868,43,35232.2,94944
21,03/03/2022 22:54,202201,BRITISH AIRWAYS PLC,BOEING 777 300ER,3959,493,529,89,4953.8,660.1,94091,701766,1116341,16,17629.4,35328
22,03/03/2022 22:54,202201,BRITISH AIRWAYS PLC,BOEING 787 10,682,0,107,0,863.9,0.0,14233,92375,174431,2,2684.9,4416
23,03/03/2022 22:54,202201,BRITISH AIRWAYS PLC,BOEING 787 8,2620,421,429,49,3420.6,539.0,54945,348784,560687,12,11139.0,26496
24,03/03/2022 22:54,202201,BRITISH AIRWAYS PLC,BOEING 787 9,5246,126,689,20,6509.7,164.9,81688,633218,1133029,18,21062.7,39744
25,03/03/2022 22:54,202201,CARGOLOGICAIR LTD,BOEING 747 400,0,542,0,107,0.0,707.0,0,0,0,2,2084.8,4416
26,03/03/2022 22:54,202201,CATREUS AOC LTD,BOMBARDIER BD100 1A10,26,0,30,0,42.2,0.0,100,89,235,2,138.4,4416
27,03/03/2022 22:54,202201,CATREUS AOC LTD,BOMBARDIER BD700 1A10,48,0,7,0,60.0,0.0,26,184,630,1,205.5,2208
28,03/03/2022 22:54,202201,CATREUS AOC LTD,CESSNA 525 NO MASTER SERIES ASSIGNED,0,0,0,0,0.0,0.0,0,0,0,3,57.4,6624
29,03/03/2022 22:54,202201,CATREUS AOC LTD,CESSNA 560 NO MASTER SERIES ASSIGNED,24,0,27,0,41.9,0.0,0,82,195,3,251.1,6624
30,03/03/2022 22:54,202201,CATREUS AOC LTD,EMBRAER EMB505 NO MASTER SERIES ASSIGNED,0,0,0,0,0.0,0.0,0,0,0,2,0.0,4416
31,03/03/2022 22:54,202201,CONCIERGE U LTD,BOMBARDIER BD700 1A11,40,0,6,0,49.2,0.0,21,141,566,2,235.4,4416
32,03/03/2022 22:54,202201,CONCIERGE U LTD,DASSAULT FALCON 7X NO MASTER SERIES ASSIGNED,57,0,8,0,70.2,0.0,31,224,804,3,81.7,6624
33,03/03/2022 22:54,202201,CONCIERGE U LTD,GULFSTREAM GV NO MASTER SERIES ASSIGNED,66,0,10,0,78.9,0.0,58,376,923,2,275.9,4416
34,03/03/2022 22:54,202201,DHL AIR LTD,BOEING 757 200,0,662,0,716,0.0,1264.5,0,0,0,13,6567.2,41664
35,03/03/2022 22:54,202201,DHL AIR LTD,BOEING 767 300F,0,964,0,288,0.0,1316.9,0,0,0,4,3710.1,8520
36,03/03/2022 22:54,202201,EASTERN AIRWAYS,ATR ATR72 200,52,0,126,0,134.4,0.0,2889,1215,3836,2,411.3,4416
37,03/03/2022 22:54,202201,EASTERN AIRWAYS,BAE JETSTREAM 4100 4100,66,0,206,0,172.4,0.0,2069,727,1905,13,623.9,19872
38,03/03/2022 22:54,202201,EASTERN AIRWAYS,EMBRAER EMB135 NO MASTER SERIES ASSIGNED,0,0,0,0,0.0,0.0,0,0,0,0,33.1,840
39,03/03/2022 22:54,202201,EASTERN AIRWAYS,EMBRAER EMB145 NO MASTER SERIES ASSIGNED,0,0,0,0,0.0,0.0,0,0,0,0,38.3,1464
40,03/03/2022 22:54,202201,EASTERN AIRWAYS,EMBRAER ERJ170 100,0,0,0,0,0.0,0.0,0,0,0,0,0.0,120
41,03/03/2022 22:54,202201,EASTERN AIRWAYS,EMBRAER ERJ190 100,9,0,21,0,17.8,0.0,837,353,942,1,80.3,2208
42,03/03/2022 22:54,202201,EASYJET UK LTD,AIRBUS A319 100,1411,0,1942,0,2862.5,0.0,178891,129890,220165,64,12132.5,105984
43,03/03/2022 22:54,202201,EASYJET UK LTD,AIRBUS A320 200,3416,0,3579,0,6299.7,0.0,369218,360921,615124,60,29751.7,121728
44,03/03/2022 22:54,202201,EASYJET UK LTD,AIRBUS A320 200N,3878,0,2649,0,6398.4,0.0,275503,418126,698104,37,27023.3,81696
45,03/03/2022 22:54,202201,EASYJET UK LTD,AIRBUS A321 200N,820,0,420,0,1274.1,0.0,56846,113477,192709,10,6784.1,22080
46,03/03/2022 22:54,202201,EUROPEAN CARGO LTD,AIRBUS A340 600,0,55,0,10,0.0,73.0,0,0,0,2,377.4,3648
47,03/03/2022 22:54,202201,EXECUTIVE JET CHARTER LTD,AGUSTA AW139 NO MASTER SERIES ASSIGNED,0,0,0,0,0.0,0.0,0,0,0,3,0.0,6600
48,03/03/2022 22:54,202201,EXECUTIVE JET CHARTER LTD,DASSAULT FALCON 2000 NO MASTER SERIES ASSIGNED,0,0,0,0,0.0,0.0,0,0,0,1,0.0,2208
49,03/03/2022 22:54,202201,EXECUTIVE JET CHARTER LTD,DASSAULT FALCON 7X NO MASTER SERIES ASSIGNED,0,0,0,0,0.0,0.0,0,0,0,1,13.5,1680
50,03/03/2022 22:54,202201,EXECUTIVE JET CHARTER LTD,GULFSTREAM GIV NO MASTER SERIES ASSIGNED,0,0,0,0,0.0,0.0,0,0,0,1,0.0,2184
51,03/03/2022 22:54,202201,EXECUTIVE JET CHARTER LTD,GULFSTREAM GVI NO MASTER SERIES ASSIGNED,19,0,6,0,23.4,0.0,19,88,235,2,75.2,4392
52,03/03/2022 22:54,202201,GAMA AVIATION (UK) LTD,AIRBUS HELICOPTERS MBB BK117 C,0,0,0,0,0.0,0.0,0,0,0,3,0.0,6624
53,03/03/2022 22:54,202201,GAMA AVIATION (UK) LTD,BEECH 200 NO MASTER SERIES ASSIGNED,0,0,0,0,0.0,0.0,0,0,0,7,0.0,15456
54,03/03/2022 22:54,202201,GAMA AVIATION (UK) LTD,BOMBARDIER BD700 1A10,43,0,8,0,49.5,0.0,54,314,557,1,78.3,2208
55,03/03/2022 22:54,202201,GAMA AVIATION (UK) LTD,CANADAIR CL600 2B16 600,20,0,7,0,25.1,0.0,22,71,228,4,52.1,8832
56,03/03/2022 22:54,202201,GAMA AVIATION (UK) LTD,CESSNA 510 NO MASTER SERIES ASSIGNED,0,0,0,0,0.0,0.0,0,0,0,1,0.0,2208
57,03/03/2022 22:54,202201,GAMA AVIATION (UK) LTD,CESSNA 560 NO MASTER SERIES ASSIGNED,0,0,0,0,0.0,0.0,0,0,0,1,0.0,2208
58,03/03/2022 22:54,202201,GAMA AVIATION (UK) LTD,GULFSTREAM GULFSTREAM G280 NO MASTER SERIES ASSIGNED,6,0,8,0,8.9,0.0,16,13,52,1,35.4,2208
59,03/03/2022 22:54,202201,JET2.COM LTD,AIRBUS A321 200,205,0,70,0,310.3,0.0,10900,32818,39668,3,690.3,2208
60,03/03/2022 22:54,202201,JET2.COM LTD,BOEING 737 300,3,0,2,0,5.9,0.0,170,294,513,7,0.0,0
61,03/03/2022 22:54,202201,JET2.COM LTD,BOEING 737 800,6333,0,2648,0,9580.5,0.0,292385,740910,1196972,75,46549.3,165600
62,03/03/2022 22:54,202201,JET2.COM LTD,BOEING 757 200,107,0,43,0,163.2,0.0,6760,17730,25158,8,914.7,17664
63,03/03/2022 22:54,202201,JOTA AVIATION LTD,BAE AVRO146RJ 100,4,0,15,0,9.4,0.0,625,149,347,1,32.9,2208
64,03/03/2022 22:54,202201,JOTA AVIATION LTD,BAE AVRO146RJ 85,4,0,13,0,9.2,0.0,492,136,193,1,43.4,2208
65,03/03/2022 22:54,202201,JOTA AVIATION LTD,BAE BAE146 300,0,26,0,18,0.0,43.9,0,0,0,1,75.3,2208
66,03/03/2022 22:54,202201,LOGANAIR LTD,ATR ATR42 500,177,0,508,0,558.0,0.0,7420,2601,8517,6,2213.5,12528
67,03/03/2022 22:54,202201,LOGANAIR LTD,ATR ATR72 200,39,14,228,47,165.3,49.2,5972,998,2810,3,1007.5,6624
68,03/03/2022 22:54,202201,LOGANAIR LTD,BRITTEN NORMAN BN2A UNDESIGNATED MASTER SERIES,15,0,428,0,109.4,0.0,1434,64,120,2,333.4,4416
69,03/03/2022 22:54,202201,LOGANAIR LTD,DE HAVILLAND DHC6 400,34,0,215,0,194.5,0.0,1292,211,651,3,635.1,6624
70,03/03/2022 22:54,202201,LOGANAIR LTD,EMBRAER EMB135 NO MASTER SERIES ASSIGNED,59,0,152,0,160.0,0.0,2310,943,2173,4,706.3,8832
