,rundate,reporting_period,airline_name,aircraft_name,aircraft_km_passenger_x1000,aircraft_km_cargo_x1000,stage_flights_passenger,stage_flights_cargo,aircraft_hours_passenger,aircraft_hours_cargo,passengers_uplifted,seat_km_used_x1000,seat_km_available_x1000,aircraft_in_service_at_quarter_end,sum_of_hours_used_last_quarter,sum_of_hours_available_last_quarter
0,23/05/2022 23:50,202203,2 EXCEL AVIATION LTD T/A THE BLADES BROADSWORD SCIMITAR SABRE AND T2,BEECH 200 NO MASTER SERIES ASSIGNED,5,0,11,0,14.5,0.0,0,16,32,5,92.2,10800
1,23/05/2022 23:50,202203,2 EXCEL AVIATION LTD T/A THE BLADES BROADSWORD SCIMITAR SABRE AND T2,BOEING 737 300,18,0,18,0,29.0,0.0,834,854,1116,2,48.9,4320
2,23/05/2022 23:50,202203,ACROPOLIS AVIATION LTD,AIRBUS A320 200N,37,0,8,0,49.9,0.0,104,497,709,1,72.4,2160
3,23/05/2022 23:50,202203,AER LINGUS (UK) LTD,AIRBUS A321 200N,306,0,57,0,386.0,0.0,7568,40693,56393,1,1171.1,2160
4,23/05/2022 23:50,202203,AER LINGUS (UK) LTD,AIRBUS A330 300,416,0,62,0,509.8,0.0,9928,66738,132017,2,1491.3,4320
5,23/05/2022 23:50,202203,AIRTANKER SERVICES LTD,AIRBUS A330 200,222,0,40,0,298.0,0.0,2567,18144,62568,4,1006.4,8640
6,23/05/2022 23:50,202203,AURIGNY AIR SERVICES,ATR ATR72 200,103,0,315,0,349.9,0.0,12221,3964,7392,3,1086.2,6480
7,23/05/2022 23:50,202203,AURIGNY AIR SERVICES,DORNIER 228 200,27,0,342,0,150.2,0.0,3690,292,509,2,376.1,4320
8,23/05/2022 23:50,202203,AURIGNY AIR SERVICES,EMBRAER ERJ190 200,54,0,200,0,174.1,0.0,17366,4621,6592,1,351.4,2160
9,23/05/2022 23:50,202203,BA CITYFLYER LTD,EMBRAER ERJ190 100,1461,0,2303,0,3090.4,0.0,149383,98172,143202,23,6648.1,50160
10,23/05/2022 23:50,202203,BAE SYSTEMS (CORP AIR TVL) LTD,EMBRAER EMB145 NO MASTER SERIES ASSIGNED,32,0,121,0,74.0,0.0,965,270,1576,2,152.5,4320
11,23/05/2022 23:50,202203,BLUE ISLANDS LIMITED,ATR ATR42 300,0,0,0,0,0.0,0.0,0,0,0,1,18.0,2160
12,23/05/2022 23:50,202203,BLUE ISLANDS LIMITED,ATR ATR72 200,125,0,658,0,481.9,0.0,24495,4751,8519,4,1300.6,8640
13,23/05/2022 23:50,202203,BRITISH AIRWAYS PLC,AIRBUS A319 100,2272,0,3043,0,4875.1,0.0,311248,233207,300859,30,9467.4,64800
14,23/05/2022 23:50,202203,BRITISH AIRWAYS PLC,AIRBUS A320 200,5750,0,5612,0,10872.0,0.0,698471,717263,951875,67,23286.8,144720
15,23/05/2022 23:50,202203,BRITISH AIRWAYS PLC,AIRBUS A320 200N,2534,0,1606,0,4205.7,0.0,200286,314520,412794,17,11908.3,36720
16,23/05/2022 23:50,202203,BRITISH AIRWAYS PLC,AIRBUS A321 200,0,0,0,0,0.0,0.0,0,0,0,18,0.0,38880
17,23/05/2022 23:50,202203,BRITISH AIRWAYS PLC,AIRBUS A321 200N,1282,0,848,0,2160.2,0.0,128595,192322,256676,10,5471.1,21600
18,23/05/2022 23:50,202203,BRITISH AIRWAYS PLC,AIRBUS A350 1000,2431,247,386,32,3074.7,318.2,93074,666009,804697,11,9067.6,18840
19,23/05/2022 23:50,202203,BRITISH AIRWAYS PLC,AIRBUS A380 800,1275,33,181,50,1614.9,77.1,69443,485612,596296,12,4784.6,25920
20,23/05/2022 23:50,202203,BRITISH AIRWAYS PLC,BOEING 777 200,11008,68,1804,10,14133.6,94.2,366019,2468577,3051778,43,38431.9,92880
21,23/05/2022 23:50,202203,BRITISH AIRWAYS PLC,BOEING 777 300ER,4177,136,576,23,5238.8,190.2,129962,953056,1174360,16,15296.5,34560
22,23/05/2022 23:50,202203,BRITISH AIRWAYS PLC,BOEING 787 10,494,0,80,0,629.2,0.0,15093,94098,126494,2,2152.9,4320
23,23/05/2022 23:50,202203,BRITISH AIRWAYS PLC,BOEING 787 8,1911,815,343,149,2467.5,1080.7,55148,318564,408947,12,10787.0,25920
24,23/05/2022 23:50,202203,BRITISH AIRWAYS PLC,BOEING 787 9,5479,55,729,15,6803.4,76.5,119160,902552,1183442,18,19013.4,38880
25,23/05/2022 23:50,202203,CARGOLOGICAIR LTD,BOEING 747 400F,0,155,0,31,0.0,198.4,0,0,0,2,1523.9,3360
26,23/05/2022 23:50,202203,CATREUS AOC LTD,BOMBARDIER BD100 1A10,13,0,13,0,20.7,0.0,47,47,115,2,105.9,4320
27,23/05/2022 23:50,202203,CATREUS AOC LTD,BOMBARDIER BD700 1A10,34,0,10,0,47.2,0.0,38,136,442,2,181.4,3096
28,23/05/2022 23:50,202203,CATREUS AOC LTD,CESSNA 525 NO MASTER SERIES ASSIGNED,5,0,8,0,9.6,0.0,0,12,36,3,20.2,6480
